,from,to,source,database
0,CXCL1,CXCR2,kegg_cytokines,kegg
1,CXCL2,CXCR2,kegg_cytokines,kegg
2,CXCL3,CXCR2,kegg_cytokines,kegg
3,CXCL5,CXCR2,kegg_cytokines,kegg
4,PPBP,CXCR2,kegg_cytokines,kegg
5,CXCL6,CXCR2,kegg_cytokines,kegg
6,CXCL8,CXCR2,kegg_cytokines,kegg
7,CXCL6,CXCR1,kegg_cytokines,kegg
8,CXCL8,CXCR1,kegg_cytokines,kegg
9,CXCL9,CXCR3,kegg_cytokines,kegg
10,CXCL10,CXCR3,kegg_cytokines,kegg
11,CXCL11,CXCR3,kegg_cytokines,kegg
12,CXCL12,CXCR4,kegg_cytokines,kegg
13,CXCL13,CXCR5,kegg_cytokines,kegg
14,CXCL16,CXCR6,kegg_cytokines,kegg
15,XCL1,XCR1,kegg_cytokines,kegg
16,XCL2,XCR1,kegg_cytokines,kegg
17,CX3CL1,CX3CR1,kegg_cytokines,kegg
18,CCL20,CCR6,kegg_cytokines,kegg
19,CCL25,CCR9,kegg_cytokines,kegg
20,CCL17,CCR4,kegg_cytokines,kegg
21,CCL22,CCR4,kegg_cytokines,kegg
22,CCL19,CCR7,kegg_cytokines,kegg
23,CCL21,CCR7,kegg_cytokines,kegg
24,CCL2,CCR2,kegg_cytokines,kegg
25,CCL4L1,CCR5,kegg_cytokines,kegg
26,CCL3L3,CCR5,kegg_cytokines,kegg
27,CCL13,CCR2,kegg_cytokines,kegg
28,CCL13,CCR3,kegg_cytokines,kegg
29,CCL7,CCR2,kegg_cytokines,kegg
30,CCL7,CCR1,kegg_cytokines,kegg
31,CCL5,CCR5,kegg_cytokines,kegg
32,CCL5,CCR1,kegg_cytokines,kegg
33,CCL5,CCR3,kegg_cytokines,kegg
34,CCL14,CCR1,kegg_cytokines,kegg
35,CCL16,CCR1,kegg_cytokines,kegg
36,CCL23,CCR1,kegg_cytokines,kegg
37,CCL15,CCR1,kegg_cytokines,kegg
38,CCL15,CCR3,kegg_cytokines,kegg
39,CCL8,CCR3,kegg_cytokines,kegg
40,CCL11,CCR3,kegg_cytokines,kegg
41,CCL24,CCR3,kegg_cytokines,kegg
42,CCL26,CCR3,kegg_cytokines,kegg
43,CCL28,CCR3,kegg_cytokines,kegg
44,CCL28,CCR10,kegg_cytokines,kegg
45,CCL27,CCR10,kegg_cytokines,kegg
46,IL6,IL6ST,kegg_cytokines,kegg
47,IL6,IL6R,kegg_cytokines,kegg
48,IL11,IL11RA,kegg_cytokines,kegg
49,IL11,IL6ST,kegg_cytokines,kegg
50,OSM,LIFR,kegg_cytokines,kegg
51,OSM,IL6ST,kegg_cytokines,kegg
52,OSM,OSMR,kegg_cytokines,kegg
53,LIF,LIFR,kegg_cytokines,kegg
54,LIF,IL6ST,kegg_cytokines,kegg
55,CNTF,CNTFR,kegg_cytokines,kegg
56,CNTF,LIFR,kegg_cytokines,kegg
57,CNTF,IL6ST,kegg_cytokines,kegg
58,CLCF1,CNTFR,kegg_cytokines,kegg
59,CLCF1,LIFR,kegg_cytokines,kegg
60,CLCF1,IL6ST,kegg_cytokines,kegg
61,CTF1,LIFR,kegg_cytokines,kegg
62,CTF1,IL6ST,kegg_cytokines,kegg
63,CSF3,CSF3R,kegg_cytokines,kegg
64,LEP,LEPR,kegg_cytokines,kegg
65,IL4,IL13RA1,kegg_cytokines,kegg
66,IL4,IL4R,kegg_cytokines,kegg
67,IL13,IL13RA1,kegg_cytokines,kegg
68,IL13,IL4R,kegg_cytokines,kegg
69,IL12A,IL12RB2,kegg_cytokines,kegg
70,IL12A,IL12RB1,kegg_cytokines,kegg
71,IL23A,IL12RB1,kegg_cytokines,kegg
72,IL23A,IL23R,kegg_cytokines,kegg
73,CSF2,CSF2RB,kegg_cytokines,kegg
74,CSF2,CSF2RA,kegg_cytokines,kegg
75,IL3,IL3RA,kegg_cytokines,kegg
76,IL3,CSF2RB,kegg_cytokines,kegg
77,IL5,IL5RA,kegg_cytokines,kegg
78,IL5,CSF2RB,kegg_cytokines,kegg
79,IL2,IL2RG,kegg_cytokines,kegg
80,IL2,IL2RB,kegg_cytokines,kegg
81,IL2,IL2RA,kegg_cytokines,kegg
82,IL4,IL2RG,kegg_cytokines,kegg
83,IL7,IL7R,kegg_cytokines,kegg
84,IL7,IL2RG,kegg_cytokines,kegg
85,IL9,IL9R,kegg_cytokines,kegg
86,IL9,IL2RG,kegg_cytokines,kegg
87,IL15,IL2RG,kegg_cytokines,kegg
88,IL15,IL15RA,kegg_cytokines,kegg
89,IL15,IL2RB,kegg_cytokines,kegg
90,IL21,IL2RG,kegg_cytokines,kegg
91,IL21,IL21R,kegg_cytokines,kegg
92,TSLP,CRLF2,kegg_cytokines,kegg
93,TSLP,IL7R,kegg_cytokines,kegg
94,EPO,EPOR,kegg_cytokines,kegg
95,GH1,GHR,kegg_cytokines,kegg
96,GH2,GHR,kegg_cytokines,kegg
97,PRL,PRLR,kegg_cytokines,kegg
98,THPO,MPL,kegg_cytokines,kegg
99,PDGFC,PDGFRA,kegg_cytokines,kegg
100,PDGFA,PDGFRA,kegg_cytokines,kegg
101,PDGFA,PDGFRB,kegg_cytokines,kegg
102,PDGFB,PDGFRA,kegg_cytokines,kegg
103,PDGFB,PDGFRB,kegg_cytokines,kegg
104,PLEKHO2,PDGFRB,kegg_cytokines,kegg
105,VEGFB,FLT1,kegg_cytokines,kegg
106,VEGFA,FLT1,kegg_cytokines,kegg
107,VEGFA,KDR,kegg_cytokines,kegg
108,VEGFD,KDR,kegg_cytokines,kegg
109,VEGFD,FLT4,kegg_cytokines,kegg
110,HGF,MET,kegg_cytokines,kegg
111,EGF,EGFR,kegg_cytokines,kegg
112,CSF1,CSF1R,kegg_cytokines,kegg
113,KITLG,KIT,kegg_cytokines,kegg
114,FLT3LG,FLT3,kegg_cytokines,kegg
115,IFNA1,IFNAR2,kegg_cytokines,kegg
116,IFNA1,IFNAR1,kegg_cytokines,kegg
117,IFNB1,IFNAR2,kegg_cytokines,kegg
118,IFNB1,IFNAR1,kegg_cytokines,kegg
119,IFNW1,IFNAR2,kegg_cytokines,kegg
120,IFNW1,IFNAR1,kegg_cytokines,kegg
121,IFNK,IFNAR2,kegg_cytokines,kegg
122,IFNK,IFNAR1,kegg_cytokines,kegg
123,IFNE,IFNAR2,kegg_cytokines,kegg
124,IFNE,IFNAR1,kegg_cytokines,kegg
125,IFNG,IFNGR2,kegg_cytokines,kegg
126,IFNG,IFNGR1,kegg_cytokines,kegg
127,IL10,IL10RB,kegg_cytokines,kegg
128,IL10,IL10RA,kegg_cytokines,kegg
129,IL19,IL20RA,kegg_cytokines,kegg
130,IL20,IL20RA,kegg_cytokines,kegg
131,IL20,IL22RA1,kegg_cytokines,kegg
132,IL24,IL20RA,kegg_cytokines,kegg
133,IL24,IL22RA1,kegg_cytokines,kegg
134,IL22,IL10RB,kegg_cytokines,kegg
135,IL22,IL22RA1,kegg_cytokines,kegg
136,IL22,IL22RA2,kegg_cytokines,kegg
137,IFNL2,IL10RB,kegg_cytokines,kegg
138,IFNL2,IFNLR1,kegg_cytokines,kegg
139,IFNL3,IL10RB,kegg_cytokines,kegg
140,IFNL3,IFNLR1,kegg_cytokines,kegg
141,IFNL1,IL10RB,kegg_cytokines,kegg
142,IFNL1,IFNLR1,kegg_cytokines,kegg
143,TNFSF10,TNFRSF10A,kegg_cytokines,kegg
144,TNFSF10,TNFRSF10B,kegg_cytokines,kegg
145,TNFSF10,TNFRSF10C,kegg_cytokines,kegg
146,TNFSF10,TNFRSF10D,kegg_cytokines,kegg
147,TNFSF10,TNFRSF11B,kegg_cytokines,kegg
148,TNFSF11,TNFRSF11B,kegg_cytokines,kegg
149,TNFSF11,TNFRSF11A,kegg_cytokines,kegg
150,TNFSF12,TNFRSF12A,kegg_cytokines,kegg
151,TNF,TNFRSF1B,kegg_cytokines,kegg
152,TNF,TNFRSF1A,kegg_cytokines,kegg
153,LTA,TNFRSF1B,kegg_cytokines,kegg
154,LTA,TNFRSF1A,kegg_cytokines,kegg
155,LTA,LTBR,kegg_cytokines,kegg
156,LTA,TNFRSF14,kegg_cytokines,kegg
157,LTB,LTBR,kegg_cytokines,kegg
158,TNFSF14,LTBR,kegg_cytokines,kegg
159,TNFSF14,TNFRSF14,kegg_cytokines,kegg
160,TNFSF14,TNFRSF6B,kegg_cytokines,kegg
161,FASLG,TNFRSF6B,kegg_cytokines,kegg
162,FASLG,FAS,kegg_cytokines,kegg
163,CD40LG,CD40,kegg_cytokines,kegg
164,CD70,CD27,kegg_cytokines,kegg
165,TNFSF8,TNFRSF8,kegg_cytokines,kegg
166,TNFSF9,TNFRSF9,kegg_cytokines,kegg
167,TNFSF4,TNFRSF4,kegg_cytokines,kegg
168,TNFSF18,TNFRSF18,kegg_cytokines,kegg
169,TNFSF13,TNFRSF17,kegg_cytokines,kegg
170,TNFSF13,TNFRSF13B,kegg_cytokines,kegg
171,TNFSF13B,TNFRSF17,kegg_cytokines,kegg
172,TNFSF13B,TNFRSF13B,kegg_cytokines,kegg
173,TNFSF13B,TNFRSF13C,kegg_cytokines,kegg
174,EDA,EDAR,kegg_cytokines,kegg
175,EDA,EDA2R,kegg_cytokines,kegg
176,TGFB1,TGFBR1,kegg_cytokines,kegg
177,TGFB1,TGFBR2,kegg_cytokines,kegg
178,TGFB2,TGFBR1,kegg_cytokines,kegg
179,TGFB2,TGFBR2,kegg_cytokines,kegg
180,TGFB3,TGFBR1,kegg_cytokines,kegg
181,TGFB3,TGFBR2,kegg_cytokines,kegg
182,INHBA,ACVR1,kegg_cytokines,kegg
183,INHBA,ACVR2A,kegg_cytokines,kegg
184,INHBA,ACVR1B,kegg_cytokines,kegg
185,INHBA,ACVR2B,kegg_cytokines,kegg
186,INHBB,ACVR1,kegg_cytokines,kegg
187,INHBB,ACVR2A,kegg_cytokines,kegg
188,INHBB,ACVR1B,kegg_cytokines,kegg
189,INHBB,ACVR2B,kegg_cytokines,kegg
190,INHBC,ACVR1,kegg_cytokines,kegg
191,INHBC,ACVR2A,kegg_cytokines,kegg
192,INHBC,ACVR1B,kegg_cytokines,kegg
193,INHBC,ACVR2B,kegg_cytokines,kegg
194,INHBE,ACVR1,kegg_cytokines,kegg
195,INHBE,ACVR2A,kegg_cytokines,kegg
196,INHBE,ACVR1B,kegg_cytokines,kegg
197,INHBE,ACVR2B,kegg_cytokines,kegg
198,AMH,ACVR1,kegg_cytokines,kegg
199,AMH,AMHR2,kegg_cytokines,kegg
200,BMP2,ACVR1,kegg_cytokines,kegg
201,BMP2,BMPR2,kegg_cytokines,kegg
202,BMP2,BMPR1B,kegg_cytokines,kegg
203,BMP2,BMPR1A,kegg_cytokines,kegg
204,BMP7,BMPR1B,kegg_cytokines,kegg
205,BMP7,ACVR2A,kegg_cytokines,kegg
206,GDF5,BMPR1A,kegg_cytokines,kegg
207,GDF5,ACVR2A,kegg_cytokines,kegg
208,IL1A,IL1RAP,kegg_cytokines,kegg
209,IL1A,IL1R1,kegg_cytokines,kegg
210,IL1A,IL1R2,kegg_cytokines,kegg
211,IL1B,IL1RAP,kegg_cytokines,kegg
212,IL1B,IL1R1,kegg_cytokines,kegg
213,IL1B,IL1R2,kegg_cytokines,kegg
214,IL18,IL18RAP,kegg_cytokines,kegg
215,IL18,IL18R1,kegg_cytokines,kegg
216,CXCL11,ACKR3,kegg_cytokines,kegg
217,CXCL12,ACKR3,kegg_cytokines,kegg
218,CCL1,CCR8,kegg_cytokines,kegg
219,IL25,IL17RB,kegg_cytokines,kegg
220,IL25,IL17RA,kegg_cytokines,kegg
221,IL17A,IL17RA,kegg_cytokines,kegg
222,IL17A,IL17RC,kegg_cytokines,kegg
223,IL17F,IL17RA,kegg_cytokines,kegg
224,IL17F,IL17RC,kegg_cytokines,kegg
225,IL17C,IL17RA,kegg_cytokines,kegg
226,IL17C,IL17RE,kegg_cytokines,kegg
227,IL17B,IL17RB,kegg_cytokines,kegg
228,CD58,CD2,kegg_cams,kegg
229,CD80,CD28,kegg_cams,kegg
230,CD80,CTLA4,kegg_cams,kegg
231,CD86,CD28,kegg_cams,kegg
232,CD86,CTLA4,kegg_cams,kegg
233,HLA-DMA,CD4,kegg_cams,kegg
234,HLA-A,CD8A,kegg_cams,kegg
235,CD274,PDCD1,kegg_cams,kegg
236,PDCD1LG2,PDCD1,kegg_cams,kegg
237,CD40LG,CD40,kegg_cams,kegg
238,ITGB2,CD226,kegg_cams,kegg
239,ITGAL,CD226,kegg_cams,kegg
240,ITGB2,ICAM1,kegg_cams,kegg
241,ITGAL,ICAM1,kegg_cams,kegg
242,ICAM1,ITGB2,kegg_cams,kegg
243,ICAM1,ITGAL,kegg_cams,kegg
244,CD28,CD80,kegg_cams,kegg
245,ITGAM,ICAM1,kegg_cams,kegg
246,ITGB1,VCAM1,kegg_cams,kegg
247,ITGA4,VCAM1,kegg_cams,kegg
248,ITGA9,VCAM1,kegg_cams,kegg
249,SELPLG,SELP,kegg_cams,kegg
250,SELPLG,SELE,kegg_cams,kegg
251,PECAM1,PECAM1,kegg_cams,kegg
252,PVR,CD226,kegg_cams,kegg
253,NECTIN2,CD226,kegg_cams,kegg
254,CDH2,CDH2,kegg_cams,kegg
255,NRXN3,NLGN4Y,kegg_cams,kegg
256,CNTN1,NRCAM,kegg_cams,kegg
257,NCAM1,NCAM1,kegg_cams,kegg
258,L1CAM,L1CAM,kegg_cams,kegg
259,NECTIN1,NECTIN1,kegg_cams,kegg
260,CDH1,CDH1,kegg_cams,kegg
261,CDH4,CDH4,kegg_cams,kegg
262,ALCAM,CD6,kegg_cams,kegg
263,PTPRC,CD22,kegg_cams,kegg
264,CD40,CD40LG,kegg_cams,kegg
265,CLDN24,CLDN24,kegg_cams,kegg
266,OCLN,OCLN,kegg_cams,kegg
267,F11R,F11R,kegg_cams,kegg
268,JAM2,JAM2,kegg_cams,kegg
269,JAM3,JAM2,kegg_cams,kegg
270,JAM2,JAM3,kegg_cams,kegg
271,JAM3,JAM3,kegg_cams,kegg
272,ESAM,ESAM,kegg_cams,kegg
273,CDH5,CDH5,kegg_cams,kegg
274,CD99,CD99,kegg_cams,kegg
275,JAM3,ITGB2,kegg_cams,kegg
276,JAM3,ITGAM,kegg_cams,kegg
277,SELP,SELPLG,kegg_cams,kegg
278,ICAM2,ITGB2,kegg_cams,kegg
279,ICAM2,ITGAL,kegg_cams,kegg
280,F11R,ITGB2,kegg_cams,kegg
281,F11R,ITGAL,kegg_cams,kegg
282,ICAM3,ITGB2,kegg_cams,kegg
283,ICAM3,ITGAL,kegg_cams,kegg
284,ICAM2,ITGAM,kegg_cams,kegg
285,JAM2,ITGB1,kegg_cams,kegg
286,JAM2,ITGA4,kegg_cams,kegg
287,VCAM1,ITGB7,kegg_cams,kegg
288,VCAM1,ITGA4,kegg_cams,kegg
289,MADCAM1,ITGB7,kegg_cams,kegg
290,MADCAM1,ITGA4,kegg_cams,kegg
291,SELL,MADCAM1,kegg_cams,kegg
292,CD34,SELL,kegg_cams,kegg
293,SELE,GLG1,kegg_cams,kegg
294,NECTIN3,NECTIN1,kegg_cams,kegg
295,L1CAM,NCAM1,kegg_cams,kegg
296,CADM1,CADM1,kegg_cams,kegg
297,NEGR1,NEGR1,kegg_cams,kegg
298,CADM3,CADM3,kegg_cams,kegg
299,PTPRM,PTPRM,kegg_cams,kegg
300,CNTN2,CNTN2,kegg_cams,kegg
301,CNTN2,L1CAM,kegg_cams,kegg
302,NFASC,CNTNAP1,kegg_cams,kegg
303,NFASC,CNTN1,kegg_cams,kegg
304,CNTN2,CNTNAP2,kegg_cams,kegg
305,MPZ,MPZ,kegg_cams,kegg
306,MAG,MAG,kegg_cams,kegg
307,CLDN11,CLDN11,kegg_cams,kegg
308,NECTIN2,NECTIN3,kegg_cams,kegg
309,CDH3,CDH3,kegg_cams,kegg
310,CDH15,CDH15,kegg_cams,kegg
311,CD80,CD274,kegg_cams,kegg
312,PVR,TIGIT,kegg_cams,kegg
313,NECTIN2,TIGIT,kegg_cams,kegg
314,CD274,CD80,kegg_cams,kegg
315,NECTIN3,TIGIT,kegg_cams,kegg
316,F11R,JAM2,kegg_cams,kegg
317,F11R,JAM3,kegg_cams,kegg
318,LRRC4C,NTNG1,kegg_cams,kegg
319,LRRC4,NTNG2,kegg_cams,kegg
320,LRRC4B,PTPRF,kegg_cams,kegg
321,CTSG,F2R,kegg_neuroactive,kegg
322,CGA,FSHR,kegg_neuroactive,kegg
323,CGA,LHCGR,kegg_neuroactive,kegg
324,CGA,TSHR,kegg_neuroactive,kegg
325,CSH1,GHR,kegg_neuroactive,kegg
326,LEP,LEPR,kegg_neuroactive,kegg
327,PRL,PRLR,kegg_neuroactive,kegg
328,COL1A1,ITGB1,kegg_ecm,kegg
329,COL1A1,ITGA1,kegg_ecm,kegg
330,LAMC3,ITGB1,kegg_ecm,kegg
331,LAMC3,ITGA1,kegg_ecm,kegg
332,COL1A1,ITGA2,kegg_ecm,kegg
333,LAMC3,ITGA2,kegg_ecm,kegg
334,CHAD,ITGA2,kegg_ecm,kegg
335,CHAD,ITGB1,kegg_ecm,kegg
336,LAMC3,ITGA3,kegg_ecm,kegg
337,RELN,ITGA3,kegg_ecm,kegg
338,RELN,ITGB1,kegg_ecm,kegg
339,COMP,ITGA3,kegg_ecm,kegg
340,COMP,ITGB1,kegg_ecm,kegg
341,COL1A1,ITGA3,kegg_ecm,kegg
342,FN1,ITGA3,kegg_ecm,kegg
343,FN1,ITGB1,kegg_ecm,kegg
344,FN1,ITGA4,kegg_ecm,kegg
345,SPP1,ITGA4,kegg_ecm,kegg
346,SPP1,ITGB1,kegg_ecm,kegg
347,FN1,ITGA5,kegg_ecm,kegg
348,LAMC3,ITGA6,kegg_ecm,kegg
349,LAMC3,ITGA7,kegg_ecm,kegg
350,FN1,ITGA8,kegg_ecm,kegg
351,VTN,ITGB1,kegg_ecm,kegg
352,VTN,ITGA8,kegg_ecm,kegg
353,TNC,ITGB1,kegg_ecm,kegg
354,TNC,ITGA8,kegg_ecm,kegg
355,TNC,ITGA9,kegg_ecm,kegg
356,SPP1,ITGA9,kegg_ecm,kegg
357,COL1A1,ITGA9,kegg_ecm,kegg
358,LAMC3,ITGA9,kegg_ecm,kegg
359,COL1A1,ITGA10,kegg_ecm,kegg
360,COL1A1,ITGA11,kegg_ecm,kegg
361,FN1,ITGAV,kegg_ecm,kegg
362,SPP1,ITGAV,kegg_ecm,kegg
363,VTN,ITGAV,kegg_ecm,kegg
364,FN1,ITGB7,kegg_ecm,kegg
365,VTN,ITGB3,kegg_ecm,kegg
366,FN1,ITGB3,kegg_ecm,kegg
367,VWF,ITGAV,kegg_ecm,kegg
368,VWF,ITGB3,kegg_ecm,kegg
369,SPP1,ITGB3,kegg_ecm,kegg
370,TNC,ITGAV,kegg_ecm,kegg
371,TNC,ITGB3,kegg_ecm,kegg
372,IBSP,ITGAV,kegg_ecm,kegg
373,IBSP,ITGB3,kegg_ecm,kegg
374,COMP,ITGAV,kegg_ecm,kegg
375,COMP,ITGB3,kegg_ecm,kegg
376,VTN,ITGA2B,kegg_ecm,kegg
377,FN1,ITGA2B,kegg_ecm,kegg
378,VWF,ITGA2B,kegg_ecm,kegg
379,COMP,ITGA2B,kegg_ecm,kegg
380,VTN,ITGB5,kegg_ecm,kegg
381,IBSP,ITGB5,kegg_ecm,kegg
382,SPP1,ITGB5,kegg_ecm,kegg
383,FN1,ITGB6,kegg_ecm,kegg
384,TNC,ITGB6,kegg_ecm,kegg
385,COL1A1,ITGAV,kegg_ecm,kegg
386,COL1A1,ITGB8,kegg_ecm,kegg
387,FN1,ITGB8,kegg_ecm,kegg
388,LAMC3,ITGAV,kegg_ecm,kegg
389,LAMC3,ITGB8,kegg_ecm,kegg
390,VTN,ITGB8,kegg_ecm,kegg
391,LAMC3,ITGB4,kegg_ecm,kegg
392,COL1A1,CD44,kegg_ecm,kegg
393,FN1,CD44,kegg_ecm,kegg
394,LAMC3,CD44,kegg_ecm,kegg
395,COL1A1,SDC1,kegg_ecm,kegg
396,FN1,SDC1,kegg_ecm,kegg
397,COMP,SDC1,kegg_ecm,kegg
398,TNC,SDC1,kegg_ecm,kegg
399,LAMC3,SV2C,kegg_ecm,kegg
400,COMP,CD36,kegg_ecm,kegg
401,VWF,GP9,kegg_ecm,kegg
402,VWF,GP1BB,kegg_ecm,kegg
403,VWF,GP1BA,kegg_ecm,kegg
404,VWF,GP5,kegg_ecm,kegg
405,COL1A1,GP6,kegg_ecm,kegg
406,LAMC3,DAG1,kegg_ecm,kegg
407,AGRN,DAG1,kegg_ecm,kegg
408,HSPG2,DAG1,kegg_ecm,kegg
409,COMP,CD47,kegg_ecm,kegg
410,C3,C3AR1,pharmacology,guide2pharmacology
411,ADM2,CALCR,pharmacology,guide2pharmacology
412,CALCB,CALCR,pharmacology,guide2pharmacology
413,IAPP,CALCR,pharmacology,guide2pharmacology
414,CALCA,CALCR,pharmacology,guide2pharmacology
415,ADM,MRGPRX2,pharmacology,guide2pharmacology
416,ADM,GPR182,pharmacology,guide2pharmacology
417,ADM,CALCR,pharmacology,guide2pharmacology
418,CORT,SSTR1,pharmacology,guide2pharmacology
419,CORT,SSTR4,pharmacology,guide2pharmacology
420,CORT,SSTR5,pharmacology,guide2pharmacology
421,CORT,SSTR3,pharmacology,guide2pharmacology
422,CORT,SSTR2,pharmacology,guide2pharmacology
423,CORT,MRGPRX2,pharmacology,guide2pharmacology
424,SST,SSTR1,pharmacology,guide2pharmacology
425,SST,SSTR4,pharmacology,guide2pharmacology
426,SST,SSTR5,pharmacology,guide2pharmacology
427,SST,SSTR3,pharmacology,guide2pharmacology
428,SST,SSTR2,pharmacology,guide2pharmacology
429,CCL17,CCR4,pharmacology,guide2pharmacology
430,CCL22,CCR4,pharmacology,guide2pharmacology
431,RSPO1,LGR4,pharmacology,guide2pharmacology
432,RSPO1,LGR6,pharmacology,guide2pharmacology
433,RSPO1,LGR5,pharmacology,guide2pharmacology
434,RSPO4,LGR4,pharmacology,guide2pharmacology
435,RSPO4,LGR6,pharmacology,guide2pharmacology
436,RSPO4,LGR5,pharmacology,guide2pharmacology
437,RSPO3,LGR4,pharmacology,guide2pharmacology
438,RSPO3,LGR6,pharmacology,guide2pharmacology
439,RSPO3,LGR5,pharmacology,guide2pharmacology
440,RSPO2,LGR4,pharmacology,guide2pharmacology
441,RSPO2,LGR6,pharmacology,guide2pharmacology
442,RSPO2,LGR5,pharmacology,guide2pharmacology
443,CALM1,CNGA2,pharmacology,guide2pharmacology
444,CALM1,PDE1C,pharmacology,guide2pharmacology
445,CALM1,PDE1B,pharmacology,guide2pharmacology
446,CALM1,KCNH1,pharmacology,guide2pharmacology
447,CALM1,MYLK,pharmacology,guide2pharmacology
448,CALM1,MYLK2,pharmacology,guide2pharmacology
449,CALM1,PDE1A,pharmacology,guide2pharmacology
450,CALM3,CNGA2,pharmacology,guide2pharmacology
451,CALM3,PDE1C,pharmacology,guide2pharmacology
452,CALM3,PDE1B,pharmacology,guide2pharmacology
453,CALM3,KCNH1,pharmacology,guide2pharmacology
454,CALM3,MYLK,pharmacology,guide2pharmacology
455,CALM3,MYLK2,pharmacology,guide2pharmacology
456,CALM3,PDE1A,pharmacology,guide2pharmacology
457,CALM2,CNGA2,pharmacology,guide2pharmacology
458,CALM2,PDE1C,pharmacology,guide2pharmacology
459,CALM2,PDE1B,pharmacology,guide2pharmacology
460,CALM2,KCNH1,pharmacology,guide2pharmacology
461,CALM2,MYLK,pharmacology,guide2pharmacology
462,CALM2,MYLK2,pharmacology,guide2pharmacology
463,CALM2,PDE1A,pharmacology,guide2pharmacology
464,INSL3,RXFP2,pharmacology,guide2pharmacology
465,RLN1,RXFP1,pharmacology,guide2pharmacology
466,RLN1,RXFP2,pharmacology,guide2pharmacology
467,RLN2,RXFP1,pharmacology,guide2pharmacology
468,RLN2,RXFP2,pharmacology,guide2pharmacology
469,RLN3,RXFP3,pharmacology,guide2pharmacology
470,RLN3,RXFP4,pharmacology,guide2pharmacology
471,RLN3,RXFP1,pharmacology,guide2pharmacology
472,RLN3,RXFP2,pharmacology,guide2pharmacology
473,INSL5,RXFP3,pharmacology,guide2pharmacology
474,INSL5,RXFP4,pharmacology,guide2pharmacology
475,RARRES2,CMKLR1,pharmacology,guide2pharmacology
476,RARRES2,GPR1,pharmacology,guide2pharmacology
477,QRFP,QRFPR,pharmacology,guide2pharmacology
478,ALOX5AP,ALOX5,pharmacology,guide2pharmacology
479,APLN,APLNR,pharmacology,guide2pharmacology
480,LHB,LHCGR,pharmacology,guide2pharmacology
481,CGA,LHCGR,pharmacology,guide2pharmacology
482,CGA,TSHR,pharmacology,guide2pharmacology
483,CGA,FSHR,pharmacology,guide2pharmacology
484,TSHB,TSHR,pharmacology,guide2pharmacology
485,FSHB,FSHR,pharmacology,guide2pharmacology
486,ANXA1,FPR1,pharmacology,guide2pharmacology
487,ANXA1,FPR3,pharmacology,guide2pharmacology
488,ANXA1,FPR2,pharmacology,guide2pharmacology
489,HEBP1,FPR3,pharmacology,guide2pharmacology
490,HEBP1,FPR2,pharmacology,guide2pharmacology
491,CAMP,FPR2,pharmacology,guide2pharmacology
492,SAA1,FPR2,pharmacology,guide2pharmacology
493,APP,FPR2,pharmacology,guide2pharmacology
494,CXCL2,CXCR2,pharmacology,guide2pharmacology
495,CXCL5,CXCR2,pharmacology,guide2pharmacology
496,PPBP,CXCR2,pharmacology,guide2pharmacology
497,CXCL3,CXCR2,pharmacology,guide2pharmacology
498,CXCL1,CXCR1,pharmacology,guide2pharmacology
499,CXCL1,CXCR2,pharmacology,guide2pharmacology
500,CXCL8,CXCR1,pharmacology,guide2pharmacology
501,CXCL8,CXCR2,pharmacology,guide2pharmacology
502,CXCL6,CXCR1,pharmacology,guide2pharmacology
503,CXCL6,CXCR2,pharmacology,guide2pharmacology
504,YARS,CXCR1,pharmacology,guide2pharmacology
505,XCL2,XCR1,pharmacology,guide2pharmacology
506,XCL1,XCR1,pharmacology,guide2pharmacology
507,RPS19,C5AR1,pharmacology,guide2pharmacology
508,C5,C5AR1,pharmacology,guide2pharmacology
509,C5,C5AR2,pharmacology,guide2pharmacology
510,CCL19,CXCR3,pharmacology,guide2pharmacology
511,CCL19,CCRL2,pharmacology,guide2pharmacology
512,CCL19,CCR7,pharmacology,guide2pharmacology
513,CCL19,ACKR4,pharmacology,guide2pharmacology
514,CCL21,CCR7,pharmacology,guide2pharmacology
515,CCL21,ACKR4,pharmacology,guide2pharmacology
516,CCL25,ACKR4,pharmacology,guide2pharmacology
517,CCL25,CCR9,pharmacology,guide2pharmacology
518,DEFB4A,CCR6,pharmacology,guide2pharmacology
519,DEFB4B,CCR6,pharmacology,guide2pharmacology
520,CCL20,CXCR3,pharmacology,guide2pharmacology
521,CCL20,CCR6,pharmacology,guide2pharmacology
522,CXCL12,CXCR3,pharmacology,guide2pharmacology
523,CXCL12,ACKR3,pharmacology,guide2pharmacology
524,CXCL12,CXCR4,pharmacology,guide2pharmacology
525,CXCL11,CCR3,pharmacology,guide2pharmacology
526,CXCL11,CXCR3,pharmacology,guide2pharmacology
527,CXCL11,ACKR3,pharmacology,guide2pharmacology
528,CXCL9,CCR3,pharmacology,guide2pharmacology
529,CXCL9,CXCR3,pharmacology,guide2pharmacology
530,CXCL10,CCR3,pharmacology,guide2pharmacology
531,CXCL10,CXCR3,pharmacology,guide2pharmacology
532,CCL5,GPR75,pharmacology,guide2pharmacology
533,CCL5,CCR1,pharmacology,guide2pharmacology
534,CCL5,CCR5,pharmacology,guide2pharmacology
535,CCL5,CCR3,pharmacology,guide2pharmacology
536,CCL5,CXCR3,pharmacology,guide2pharmacology
537,CCL8,CCR8,pharmacology,guide2pharmacology
